enName,enAbbr,localName,localAbbr
"Eastern","EA","Eastern","EA"
"Islands","IS","Islands","IS"
"Kowloon City","KC","Kowloon City","KC"
"Kwai Tsing","KI","Kwai Tsing","KI"
"Kwun Tong","KU","Kwun Tong","KU"
"North","NO","North","NO"
"Sai Kung","SK",
"Sha Tin","ST","Sha Tin","ST"
"Sham Shui Po","SS","Sham Shui Po","SS"
"Southern","SO","Southern","SO"
"Tai Po","TP","Tai Po","TP"
"Tsuen Wan","TW","Tsuen Wan","TW"
"Tuen Mun","TM","Tuen Mun","TM"
"Wan Chai","WC","Wan Chai","WC"
"Wong Tai Sin","WT","Wong Tai Sin","WT"
"Yau Tsim Mong","YT","Yau Tsim Mong","YT"
"Yuen Long","YL","Yuen Long","YL"
